loop,trig_cnt,accel_x_ms2,accel_y_ms2,accel_z_ms2,gyro_x_dps,gyro_y_dps,gyro_z_dps
273,59732,-7.950818,-0.408386,-1.288406,31.179296,-34.174088,23.674499
274,59950,-8.717557,-0.516366,-1.532197,23.641956,-82.933269,26.591596
275,60168,-9.232452,-0.726118,-1.073104,0.669710,-121.954557,26.639284
276,60386,-9.481326,-0.912972,-0.034954,-10.986233,-122.542435,28.534914
277,60604,-9.724640,-1.238165,0.063841,-22.353504,-119.845844,25.195975
278,60822,-10.241274,-1.423973,0.324866,-29.946141,-95.324225,16.703505
279,61040,-10.496922,-0.994440,0.155742,-39.414876,-67.231776,9.121236
280,61258,-11.279174,-0.440874,-0.700080,-30.998377,-36.748292,-8.543403
281,61476,-11.553204,0.168590,-1.381956,-38.886452,0.734458,-26.512629
282,61694,-12.120436,0.637041,-1.839219,-28.225418,24.161084,-36.258392
283,61912,-12.363853,0.629350,-1.549667,-18.963478,47.206958,-40.835369
284,62130,-11.405968,0.957295,-0.278539,-5.704342,75.289924,-36.866284
285,62348,-10.813277,0.925239,0.976199,16.006779,101.528185,-27.918324
286,62566,-9.072433,1.266377,2.248275,18.759509,122.947283,-17.190214
287,62784,-8.446252,1.414004,2.557365,28.050111,116.593020,-4.060144
288,63002,-7.345266,1.001551,1.761089,35.801731,104.756752,8.321948
289,63220,-7.062479,0.364237,0.887682,39.300188,67.406732,17.217979
290,63438,-7.220719,-0.094629,-0.774694,38.594456,18.955638,17.589597
291,63656,-7.983148,-0.571860,-1.268378,29.063759,-48.476676,26.460634
292,63874,-8.781872,-0.627925,-1.307503,21.669309,-93.482310,27.035740
293,64092,-9.147119,-0.867272,-1.177589,-1.437218,-121.324774,26.086097
294,64310,-9.502105,-0.853355,-0.051131,-3.762382,-126.902680,31.439938
295,64528,-9.664619,-1.150318,0.471767,-21.648191,-105.934603,25.293511
296,64746,-10.019235,-1.312472,0.591031,-36.308775,-81.085924,19.669550
297,64964,-10.215508,-1.043621,0.127936,-36.663443,-62.147361,4.631394
298,65182,-11.231037,-0.311056,-0.855569,-39.376993,-42.806921,-11.401096
299,65400,-11.815222,0.201591,-1.720708,-38.020720,-2.663681,-22.457223
300,65618,-12.422316,0.519530,-1.572012,-25.761851,24.857547,-41.063768
301,65836,-12.155151,0.607012,-1.676392,-17.027988,44.962574,-40.759471
302,66054,-11.397060,0.643530,0.083953,6.173249,81.127127,-36.702752
303,66272,-10.348085,0.981975,1.051005,11.011169,107.780570,-36.234318
304,66490,-9.002301,1.285344,2.346398,23.719320,139.570405,-19.323428
305,66708,-8.054638,1.421497,2.932963,31.237314,131.189435,-2.664684
306,66926,-7.004273,0.959361,2.261858,44.605705,95.360906,19.847575
307,67144,-7.230291,0.258458,0.969395,37.289992,52.882906,17.993163
308,67362,-7.362197,-0.245989,-0.791963,35.480282,5.197654,25.354307
309,67580,-8.028350,-0.682234,-1.420259,24.147979,-45.897018,17.770263
310,67798,-8.656741,-0.726922,-1.219009,16.256368,-95.039968,26.567257
311,68016,-9.288708,-0.669154,-0.883700,2.361163,-120.781604,20.247614
312,68234,-9.617712,-0.878641,0.274014,-13.314663,-125.670746,28.100873
313,68452,-9.664752,-1.274660,0.410004,-23.769313,-105.090379,23.946994
314,68670,-10.089850,-1.290328,0.786516,-35.986093,-88.910523,17.450355
315,68888,-10.501514,-0.866523,0.051896,-43.532513,-62.295068,6.974755
316,69106,-11.405589,-0.219195,-0.926490,-41.129227,-27.251026,-7.251840
317,69324,-11.826608,0.285300,-1.894290,-32.850245,6.688840,-27.293446
318,69542,-12.063440,0.613228,-2.000750,-25.372716,32.073528,-38.788911
319,69760,-12.175684,0.617648,-1.030952,-9.182440,64.007256,-42.655454
320,69978,-11.325887,0.649632,-0.102997,0.562133,93.478160,-38.174271
321,70196,-10.133965,0.905092,1.154887,17.928719,112.524186,-31.217038
322,70414,-8.765214,1.371810,2.927796,30.265259,127.143566,-12.623538
323,70632,-7.744698,1.309768,2.130408,37.995039,121.370454,-6.353844
324,70850,-7.238189,0.782870,1.863289,39.462857,101.012823,7.465506
325,71068,-7.248815,0.301194,0.287491,35.950007,46.204387,15.944648
326,71286,-7.430925,-0.231495,-1.110459,32.990270,-5.958139,21.398627
327,71504,-8.051962,-0.561162,-1.595653,21.114352,-68.750037,21.965642
328,71722,-8.822217,-0.535848,-1.496432,19.012660,-101.345007,23.976855
329,71940,-9.234906,-0.865681,-0.713775,-8.034706,-119.522688,28.222597
330,72158,-9.541633,-1.064619,-0.157162,-18.196488,-116.195437,30.548230
331,72376,-9.883293,-1.315632,0.733153,-21.396051,-102.649155,27.281696
332,72594,-10.187252,-1.122670,0.572338,-38.289752,-88.299774,14.615584
333,72812,-10.701243,-0.744339,0.117892,-36.271985,-51.813279,5.218965
334,73030,-10.982735,-0.056877,-0.662289,-43.436470,-26.983419,-17.078738
335,73248,-12.347481,0.377403,-1.385930,-34.922800,6.005409,-33.770637
336,73466,-12.327300,0.608302,-1.935432,-20.124656,24.004714,-41.053906
337,73684,-12.107834,0.781495,-0.804329,-17.331648,51.140624,-47.374317
338,73902,-11.316019,0.767205,0.319809,4.866759,85.372908,-43.378759
339,74120,-9.992695,1.068731,1.592284,14.496899,114.533879,-20.743423
340,74338,-8.960970,1.245111,2.531637,32.688757,124.836808,-13.800293
341,74556,-7.954713,1.305783,2.107587,42.648162,129.218508,4.332705
342,74774,-7.026842,0.763182,1.736215,39.821064,88.485319,17.428832
343,74992,-7.029334,0.315313,-0.097272,36.991884,36.853915,21.308596
344,75210,-7.672563,-0.334803,-1.165934,32.467033,-2.557628,26.357593
345,75428,-8.557571,-0.549083,-1.352319,21.348320,-72.015681,25.358860
346,75646,-8.888983,-0.582496,-1.387070,17.103291,-109.951908,24.321335
347,75864,-9.264542,-0.731396,-0.909127,0.044210,-131.588336,28.342716
348,76082,-9.650515,-1.200072,0.431910,-24.374939,-126.317494,26.229878
349,76300,-9.699120,-1.220645,0.839397,-24.510031,-116.062599,25.653151
350,76518,-10.389737,-1.293634,0.579475,-36.257945,-71.182140,9.508474
351,76736,-10.862610,-0.876227,-0.518634,-36.892860,-47.411436,4.988857
352,76954,-11.242145,-0.050708,-1.300347,-35.412915,-22.646298,-20.944665
353,77172,-12.187923,0.430511,-1.462341,-32.004751,15.179494,-32.910997
354,77390,-12.321672,0.862684,-1.271861,-21.405190,33.613673,-47.739050
355,77608,-11.894221,0.618057,-0.704570,-8.164911,69.697082,-40.536323
356,77826,-11.040136,0.751635,0.356864,6.596436,90.662506,-34.305845
357,78044,-9.733698,1.149028,1.611656,12.905209,112.221376,-27.958461
358,78262,-8.538693,1.337495,2.267292,32.004930,126.575764,-7.745122
359,78480,-7.456531,1.333957,1.959171,39.059171,105.541797,2.929257
360,78698,-6.916795,0.749714,1.472512,40.511168,89.460639,9.742736
361,78916,-7.214283,0.018673,0.451216,41.173353,38.920503,17.000714
362,79134,-7.351897,-0.392740,-1.260094,38.590862,-29.128415,19.113439
363,79352,-8.408536,-0.692995,-1.434149,21.979674,-72.528848,29.361566
364,79570,-9.224758,-0.513589,-1.443089,12.538997,-99.859094,33.100825
365,79788,-9.416341,-0.960610,-0.443191,-6.003427,-134.078367,30.793298
366,80006,-9.773311,-1.032822,0.498261,-19.967164,-120.786167,27.992962
367,80224,-9.938341,-1.075866,0.516238,-29.893766,-96.535833,22.998534
368,80442,-10.343388,-1.335217,0.694706,-35.177104,-71.520446,9.045099
369,80660,-10.755188,-0.603870,-0.388808,-44.124608,-44.370333,-4.753497
370,80878,-11.504527,0.034775,-1.291147,-35.128984,-15.453519,-18.242731
371,81096,-12.014704,0.560669,-1.944683,-31.962975,17.707560,-34.573218
372,81314,-12.081555,0.673336,-1.648678,-17.647970,40.689319,-40.751703
373,81532,-11.584807,0.766832,-0.171315,-11.820572,69.017508,-44.175745
374,81750,-10.985903,0.902670,0.633505,10.154218,104.630746,-33.581811
375,81968,-9.801832,1.254737,2.045652,21.061656,120.150035,-16.720898
376,82186,-8.456398,1.350866,2.614837,32.305832,129.852170,-6.659274
377,82404,-7.634334,1.048431,2.099216,40.040802,115.188141,1.434770
378,82622,-6.969490,0.575011,0.955363,46.570921,77.597604,17.777654
379,82840,-6.837407,-0.127635,-0.216999,41.899594,19.396977,19.956808
